Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Coconut,1997,Whole Year,Kerala,884344.0,5210000000.0,3252.4,84163018.48,274146.64,5376.054286
Tapioca,1997,Whole Year,Kerala,132875.0,2841819.0,3252.4,12645713.75,41191.25,22.80357143
Arecanut,1998,Kharif,Puducherry,66.0,23.0,1434.5875,6520.8,19.14,0.35
Bajra,1998,Kharif,Puducherry,149.0,324.0,1434.5875,14721.2,43.21,2.17
Black pepper,1998,Kharif,Puducherry,12.0,7.0,1434.5875,1185.6,3.48,0.58
Coriander,1998,Kharif,Puducherry,2.0,1.0,1434.5875,197.6,0.58,0.5
Cotton(lint),1998,Summer,Puducherry,453.0,372.0,1434.5875,44756.4,131.37,0.84
Dry chillies,1998,Kharif,Puducherry,8.0,23.0,1434.5875,790.4,2.32,2.75
Groundnut,1998,Rabi,Puducherry,1046.0,2062.0,1434.5875,103344.8,303.34,1.54
Onion,1998,Kharif,Puducherry,26.0,429.0,1434.5875,2568.8,7.54,16.5
Ragi,1998,Kharif,Puducherry,112.0,366.0,1434.5875,11065.6,32.48,3.27
Rice,1998,Kharif,Puducherry,4945.0,11518.0,1434.5875,488566.0,1434.05,2.46
Rice,1998,Rabi,Puducherry,13961.0,30220.0,1434.5875,1379346.8,4048.69,2.555
Rice,1998,Summer,Puducherry,5716.0,14863.0,1434.5875,564740.8,1657.64,2.55
Sesamum,1998,Kharif,Puducherry,147.0,120.0,1434.5875,14523.6,42.63,0.806666667
Small millets,1998,Kharif,Puducherry,4.0,3.0,1434.5875,395.2,1.16,0.75
Sugarcane,1998,Kharif,Puducherry,2710.0,232369.0,1434.5875,267748.0,785.9,82.595
Tapioca,1998,Kharif,Puducherry,649.0,19110.0,1434.5875,64121.2,188.21,20.0
Arecanut,1998,Whole Year,Karnataka,98047.0,648365.0,1260.8,9687043.6,28433.63,6.232
Arhar/Tur,1998,Kharif,Karnataka,475396.0,221453.0,1260.8,46969124.8,137864.84,0.400833333
Bajra,1998,Kharif,Karnataka,415816.0,282231.0,1260.8,41082620.8,120586.64,0.601764706
Bajra,1998,Rabi,Karnataka,451.0,536.0,1260.8,44558.8,130.79,1.19
Bajra,1998,Summer,Karnataka,846.0,498.0,1260.8,83584.8,245.34,0.59
Black pepper,1998,Whole Year,Karnataka,4387.0,10342.0,1260.8,433435.6,1272.23,2.238
Cardamom,1998,Whole Year,Karnataka,20218.0,1153.0,1260.8,1997538.4,5863.22,0.06
Castor seed,1998,Kharif,Karnataka,27246.0,23245.0,1260.8,2691904.8,7901.34,0.831818182
Coconut,1998,Whole Year,Karnataka,310399.0,1611530000.0,1260.8,30667421.2,90015.71,4692.261111
Coriander,1998,Whole Year,Karnataka,17935.0,2982.0,1260.8,1771978.0,5201.15,0.118
Cotton(lint),1998,Kharif,Karnataka,636495.0,976876.0,1260.8,62885706.0,184583.55,1.556521739
Dry chillies,1998,Whole Year,Karnataka,170319.0,146498.0,1260.8,16827517.2,49392.51,1.123703704
Garlic,1998,Whole Year,Karnataka,3574.0,3034.0,1260.8,353111.2,1036.46,1.459411765
Ginger,1998,Kharif,Karnataka,3896.0,51169.0,1260.8,384924.8,1129.84,12.75944444
Gram,1998,Rabi,Karnataka,355326.0,202508.0,1260.8,35106208.8,103044.54,0.573478261
Groundnut,1998,Kharif,Karnataka,1012577.0,929016.0,1260.8,100042607.6,293647.33,0.8568
Groundnut,1998,Rabi,Karnataka,217445.0,263118.0,1260.8,21483566.0,63059.05,1.3052
Horse-gram,1998,Kharif,Karnataka,189486.0,90718.0,1260.8,18721216.8,54950.94,0.504615385
Horse-gram,1998,Rabi,Karnataka,134779.0,62084.0,1260.8,13316165.2,39085.91,0.4492
Jowar,1998,Kharif,Karnataka,420808.0,616645.0,1260.8,41575830.4,122034.32,1.305714286
Jowar,1998,Rabi,Karnataka,1420162.0,1003450.0,1260.8,140312005.6,411846.98,0.7235
Jowar,1998,Summer,Karnataka,8897.0,23144.0,1260.8,879023.6,2580.13,2.461333333
Linseed,1998,Rabi,Karnataka,19806.0,6441.0,1260.8,1956832.8,5743.74,0.315
Maize,1998,Kharif,Karnataka,450472.0,1542607.0,1260.8,44506633.6,130636.88,3.366
Maize,1998,Rabi,Karnataka,49922.0,101605.0,1260.8,4932293.6,14477.38,1.97952381
Maize,1998,Summer,Karnataka,11974.0,27080.0,1260.8,1183031.2,3472.46,2.241904762
Moong(Green Gram),1998,Kharif,Karnataka,311720.0,61227.0,1260.8,30797936.0,90398.8,0.180769231
Moong(Green Gram),1998,Rabi,Karnataka,15627.0,7005.0,1260.8,1543947.6,4531.83,0.438823529
Niger seed,1998,Kharif,Karnataka,41853.0,8104.0,1260.8,4135076.4,12137.37,0.214782609
Onion,1998,Kharif,Karnataka,79921.0,362053.0,1260.8,7896194.8,23177.09,5.363636364
Onion,1998,Rabi,Karnataka,8882.0,91057.0,1260.8,877541.6,2575.78,8.936315789
Onion,1998,Summer,Karnataka,4797.0,55339.0,1260.8,473943.6,1391.13,11.86631579
Peas & beans (Pulses),1998,Kharif,Karnataka,1730.0,15872.0,1260.8,170924.0,501.7,9.265882353
Peas & beans (Pulses),1998,Rabi,Karnataka,494.0,4882.0,1260.8,48807.2,143.26,8.948181818
Peas & beans (Pulses),1998,Summer,Karnataka,1583.0,13707.0,1260.8,156400.4,459.07,7.827
Potato,1998,Kharif,Karnataka,28755.0,317052.0,1260.8,2840994.0,8338.95,12.37333333
Potato,1998,Rabi,Karnataka,4173.0,82124.0,1260.8,412292.4,1210.17,18.90714286
Potato,1998,Summer,Karnataka,1137.0,19387.0,1260.8,112335.6,329.73,17.6
Potato,1998,Whole Year,Karnataka,268.0,3910.0,1260.8,26478.4,77.72,14.59
Ragi,1998,Kharif,Karnataka,986173.0,1664767.0,1260.8,97433892.4,285990.17,1.418
Ragi,1998,Rabi,Karnataka,33833.0,45301.0,1260.8,3342700.4,9811.57,1.361
Ragi,1998,Summer,Karnataka,10673.0,24008.0,1260.8,1054492.4,3095.17,2.239230769
Rapeseed &Mustard,1998,Kharif,Karnataka,6673.0,1790.0,1260.8,659292.4,1935.17,0.210625
Rice,1998,Kharif,Karnataka,1079193.0,2599170.0,1260.8,106624268.4,312965.97,2.310740741
Rice,1998,Rabi,Karnataka,51782.0,106072.0,1260.8,5116061.6,15016.78,2.054285714
Rice,1998,Summer,Karnataka,295830.0,951569.0,1260.8,29228004.0,85790.7,2.99375
Safflower,1998,Rabi,Karnataka,97487.0,58727.0,1260.8,9631715.6,28271.23,0.616428571
Sesamum,1998,Kharif,Karnataka,115250.0,46673.0,1260.8,11386700.0,33422.5,0.417307692
Sunflower,1998,Kharif,Karnataka,430676.0,127090.0,1260.8,42550788.8,124896.04,0.382608696
Sunflower,1998,Rabi,Karnataka,359514.0,112736.0,1260.8,35519983.2,104259.06,0.390416667
Sunflower,1998,Summer,Karnataka,43156.0,24211.0,1260.8,4263812.8,12515.24,0.595217391
Turmeric,1998,Whole Year,Karnataka,5007.0,25386.0,1260.8,494691.6,1452.03,4.682380952
Wheat,1998,Rabi,Karnataka,268981.0,219433.0,1260.8,26575322.8,78004.49,0.848823529
Arecanut,1998,Whole Year,Kerala,73639.0,68479.0,3151.5,7275533.2,21355.31,0.797857143
Banana,1998,Whole Year,Kerala,30521.0,386588.0,3151.5,3015474.8,8851.09,12.85714286
Black pepper,1998,Whole Year,Kerala,182384.0,68510.0,3151.5,18019539.2,52891.36,0.261428571
Cardamom,1998,Whole Year,Kerala,41449.0,4990.0,3151.5,4095161.2,12020.21,0.045555556
Cashewnut,1998,Whole Year,Kerala,91268.0,51336.0,3151.5,9017278.4,26467.72,0.484285714
Coconut,1998,Whole Year,Kerala,882288.0,5132000000.0,3151.5,87170054.4,255863.52,5304.749286
Garlic,1998,Whole Year,Kerala,742.0,12614.0,3151.5,73309.6,215.18,17.0
Ginger,1998,Whole Year,Kerala,11107.0,39362.0,3151.5,1097371.6,3221.03,2.93
Groundnut,1998,Kharif,Kerala,7021.0,5219.0,3151.5,693674.8,2036.09,0.62
Jowar,1998,Kharif,Kerala,2177.0,1108.0,3151.5,215087.6,631.33,0.505
Ragi,1998,Kharif,Kerala,1157.0,936.0,3151.5,114311.6,335.53,0.81
Rice,1998,Autumn,Kerala,120217.0,235849.0,3151.5,11877439.6,34862.93,1.856923077
Rice,1998,Summer,Kerala,57700.0,144872.0,3151.5,5700760.0,16733.0,2.116153846
Rice,1998,Winter,Kerala,174714.0,346022.0,3151.5,17261743.2,50667.06,1.937142857
Sesamum,1998,Kharif,Kerala,3303.0,1057.0,3151.5,326336.4,957.87,0.467272727
Sugarcane,1998,Whole Year,Kerala,6160.0,472160.0,3151.5,608608.0,1786.4,64.83
Sweet potato,1998,Whole Year,Kerala,1099.0,11924.0,3151.5,108581.2,318.71,11.718
Tapioca,1998,Whole Year,Kerala,112774.0,2630155.0,3151.5,11142071.2,32704.46,25.51785714
Tobacco,1998,Whole Year,Kerala,41.0,228.0,3151.5,4050.8,11.89,5.56
Turmeric,1998,Whole Year,Kerala,3706.0,8034.0,3151.5,366152.8,1074.74,1.997857143
Arecanut,1999,Whole Year,Kerala,81941.0,83337.0,2914.6,8696398.33,22124.07,0.831428571
Banana,1999,Whole Year,Kerala,39046.0,398145.0,2914.6,4143951.98,10542.42,10.36285714
Black pepper,1999,Whole Year,Kerala,198406.0,47543.0,2914.6,21056828.78,53569.62,0.193571429
Cardamom,1999,Whole Year,Kerala,41491.0,6585.0,2914.6,4403439.83,11202.57,0.056666667
Cashewnut,1999,Whole Year,Kerala,89403.0,65547.0,2914.6,9488340.39,24138.81,0.491428571
Coconut,1999,Whole Year,Kerala,925035.0,5680000000.0,2914.6,98173964.55,249759.45,5581.025714
Cotton(lint),1999,Kharif,Kerala,4772.0,7702.0,2914.6,506452.36,1288.44,1.61
Dry chillies,1999,Whole Year,Kerala,312.0,310.0,2914.6,33112.56,84.24,0.975
Garlic,1999,Whole Year,Kerala,849.0,14433.0,2914.6,90104.37,229.23,17.0
Ginger,1999,Whole Year,Kerala,11264.0,41344.0,2914.6,1195448.32,3041.28,3.159285714
Groundnut,1999,Kharif,Kerala,6921.0,5144.0,2914.6,734525.73,1868.67,0.37
Jowar,1999,Kharif,Kerala,2529.0,1287.0,2914.6,268402.77,682.83,0.255
Ragi,1999,Kharif,Kerala,870.0,704.0,2914.6,92333.1,234.9,0.815
Rice,1999,Autumn,Kerala,121525.0,252876.0,2914.6,12897448.25,32811.75,2.081538462
Rice,1999,Summer,Kerala,58021.0,144551.0,2914.6,6157768.73,15665.67,2.292857143
Rice,1999,Winter,Kerala,170228.0,373259.0,2914.6,18066297.64,45961.56,2.097142857
Sesamum,1999,Kharif,Kerala,2612.0,718.0,2914.6,277211.56,705.24,0.374545455
Sugarcane,1999,Whole Year,Kerala,5780.0,578820.0,2914.6,613431.4,1560.6,88.2225
Sweet potato,1999,Whole Year,Kerala,989.0,10698.0,2914.6,104962.57,267.03,11.79636364
Tapioca,1999,Whole Year,Kerala,111922.0,2531752.0,2914.6,11878281.86,30218.94,24.25785714
Tobacco,1999,Whole Year,Kerala,44.0,245.0,2914.6,4669.72,11.88,5.57
Turmeric,1999,Whole Year,Kerala,3971.0,8362.0,2914.6,421442.23,1072.17,1.999285714
Arecanut,1999,Whole Year,Puducherry,65.0,130.0,1434.5875,6898.45,17.55,2.0
Bajra,1999,Kharif,Puducherry,170.0,470.0,1434.5875,18042.1,45.9,2.76
Banana,1999,Whole Year,Puducherry,282.0,8890.0,1434.5875,29928.66,76.14,29.25
Black pepper,1999,Whole Year,Puducherry,12.0,7.0,1434.5875,1273.56,3.24,0.58
Cashewnut,1999,Whole Year,Puducherry,210.0,177.0,1434.5875,22287.3,56.7,2.69
Coconut,1999,Whole Year,Puducherry,2214.0,27816000.0,1434.5875,234971.82,597.78,12812.4475
Coriander,1999,Whole Year,Puducherry,3.0,2.0,1434.5875,318.39,0.81,0.67
Cotton(lint),1999,Kharif,Puducherry,357.0,1835.0,1434.5875,37888.41,96.39,5.14
Dry chillies,1999,Whole Year,Puducherry,11.0,35.0,1434.5875,1167.43,2.97,3.305
Ginger,1999,Kharif,Puducherry,133.0,94.0,1434.5875,14115.29,35.91,0.676666667
Groundnut,1999,Kharif,Puducherry,898.0,2511.0,1434.5875,95304.74,242.46,2.125
Jowar,1999,Kharif,Puducherry,3.0,3.0,1434.5875,318.39,0.81,1.0
Moong(Green Gram),1999,Rabi,Puducherry,2453.0,1321.0,1434.5875,260336.89,662.31,0.553333333
Onion,1999,Whole Year,Puducherry,14.0,183.0,1434.5875,1485.82,3.78,13.07
Other  Rabi pulses,1999,Rabi,Puducherry,63.0,123.0,1434.5875,6686.19,17.01,1.333333333
Ragi,1999,Kharif,Puducherry,124.0,452.0,1434.5875,13160.12,33.48,3.325
Rapeseed &Mustard,1999,Rabi,Puducherry,64.0,483.0,1434.5875,6792.32,17.28,6.023333333
Rice,1999,Kharif,Puducherry,25444.0,59433.0,1434.5875,2700371.72,6869.88,2.61
Sugarcane,1999,Whole Year,Puducherry,2798.0,237610.0,1434.5875,296951.74,755.46,83.0
Tapioca,1999,Whole Year,Puducherry,365.0,10571.0,1434.5875,38737.45,98.55,18.29
Urad,1999,Rabi,Puducherry,3159.0,2467.0,1434.5875,335264.67,852.93,0.763333333
Arecanut,2000,Whole Year,Andhra Pradesh,262.0,724.0,935.6,25720.54,68.12,2.78
Arhar/Tur,2000,Kharif,Andhra Pradesh,507366.0,216457.0,935.6,49808120.22,131915.16,0.433181818
Arhar/Tur,2000,Rabi,Andhra Pradesh,6098.0,2701.0,935.6,598640.66,1585.48,0.42375
Bajra,2000,Kharif,Andhra Pradesh,129475.0,135964.0,935.6,12710560.75,33663.5,1.001666667
Bajra,2000,Rabi,Andhra Pradesh,14229.0,12524.0,935.6,1396860.93,3699.54,0.883125
Banana,2000,Whole Year,Andhra Pradesh,49051.0,819660.0,935.6,4815336.67,12753.26,17.63090909
Cashewnut,2000,Whole Year,Andhra Pradesh,145315.0,31074.0,935.6,14265573.55,37781.9,0.190625
Castor seed,2000,Kharif,Andhra Pradesh,398561.0,136860.0,935.6,39126733.37,103625.86,0.339047619
Coconut,2000,Whole Year,Andhra Pradesh,102646.0,1092707179.0,935.6,10076757.82,26687.96,9101.813684
Coriander,2000,Whole Year,Andhra Pradesh,58441.0,19993.0,935.6,5737152.97,15194.66,0.395
Cotton(lint),2000,Kharif,Andhra Pradesh,1021721.0,1662683.0,935.6,100302350.6,265647.46,1.687727273
Dry chillies,2000,Kharif,Andhra Pradesh,183741.0,410643.0,935.6,18037853.97,47772.66,2.146818182
Dry chillies,2000,Rabi,Andhra Pradesh,54262.0,115528.0,935.6,5326900.54,14108.12,2.023181818
Ginger,2000,Whole Year,Andhra Pradesh,2329.0,6515.0,935.6,228637.93,605.54,3.14875
Gram,2000,Kharif,Andhra Pradesh,100.0,173.0,935.6,9817.0,26.0,1.1575
Gram,2000,Rabi,Andhra Pradesh,200763.0,228546.0,935.6,19708903.71,52198.38,1.4145
Groundnut,2000,Kharif,Andhra Pradesh,1601349.0,1697233.0,935.6,157204431.3,416350.74,0.904090909
Groundnut,2000,Rabi,Andhra Pradesh,272468.0,445720.0,935.6,26748183.56,70841.68,1.668181818
Horse-gram,2000,Kharif,Andhra Pradesh,13824.0,6838.0,935.6,1357102.08,3594.24,0.5
Horse-gram,2000,Rabi,Andhra Pradesh,64789.0,13492.0,935.6,6360336.13,16845.14,0.209545455
Jowar,2000,Kharif,Andhra Pradesh,332435.0,328490.0,935.6,32635143.95,86433.1,0.830909091
Jowar,2000,Rabi,Andhra Pradesh,344493.0,290498.0,935.6,33818877.81,89568.18,0.840909091
Linseed,2000,Rabi,Andhra Pradesh,5486.0,1093.0,935.6,538560.62,1426.36,0.2075
Maize,2000,Kharif,Andhra Pradesh,430544.0,1107165.0,935.6,42266504.48,111941.44,2.564545455
Maize,2000,Rabi,Andhra Pradesh,97123.0,473602.0,935.6,9534564.91,25251.98,5.019545455
Mesta,2000,Kharif,Andhra Pradesh,77823.0,686947.0,935.6,7639883.91,20233.98,8.745384615
Moong(Green Gram),2000,Kharif,Andhra Pradesh,392017.0,141194.0,935.6,38484308.89,101924.42,0.404090909
Moong(Green Gram),2000,Rabi,Andhra Pradesh,128365.0,43016.0,935.6,12601592.05,33374.9,0.371578947
Niger seed,2000,Kharif,Andhra Pradesh,18452.0,6001.0,935.6,1811432.84,4797.52,0.36
Onion,2000,Kharif,Andhra Pradesh,17058.0,227873.0,935.6,1674583.86,4435.08,12.77315789
Onion,2000,Rabi,Andhra Pradesh,13248.0,308617.0,935.6,1300556.16,3444.48,22.5085
Other  Rabi pulses,2000,Rabi,Andhra Pradesh,14200.0,5471.0,935.6,1394014.0,3692.0,0.324705882
Other Kharif pulses,2000,Kharif,Andhra Pradesh,19850.0,5000.0,935.6,1948674.5,5161.0,0.275263158
Potato,2000,Whole Year,Andhra Pradesh,2489.0,14618.0,935.6,244345.13,647.14,6.14375
Ragi,2000,Kharif,Andhra Pradesh,83492.0,92780.0,935.6,8196409.64,21707.92,1.172
Ragi,2000,Rabi,Andhra Pradesh,15760.0,27299.0,935.6,1547159.2,4097.6,1.639285714
Rapeseed &Mustard,2000,Rabi,Andhra Pradesh,4482.0,1048.0,935.6,439997.94,1165.32,0.151538462
Rice,2000,Kharif,Andhra Pradesh,3003673.0,8233806.0,935.6,294870578.4,780954.98,2.7
Rice,2000,Rabi,Andhra Pradesh,1239053.0,4224208.0,935.6,121637833.0,322153.78,2.939090909
Safflower,2000,Rabi,Andhra Pradesh,16198.0,6574.0,935.6,1590157.66,4211.48,0.34
Sesamum,2000,Kharif,Andhra Pradesh,143737.0,29348.0,935.6,14110661.29,37371.62,0.192272727
Sesamum,2000,Rabi,Andhra Pradesh,39066.0,7893.0,935.6,3835109.22,10157.16,0.204444444
Small millets,2000,Kharif,Andhra Pradesh,64766.0,38398.0,935.6,6358078.22,16839.16,0.668125
Sugarcane,2000,Whole Year,Andhra Pradesh,237150.0,17690131.0,935.6,23281015.5,61659.0,73.8955
Sunflower,2000,Kharif,Andhra Pradesh,197261.0,167828.0,935.6,19365112.37,51287.86,1.038421053
Sweet potato,2000,Whole Year,Andhra Pradesh,1938.0,25467.0,935.6,190253.46,503.88,13.93277778
Tapioca,2000,Whole Year,Andhra Pradesh,21506.0,166124.0,935.6,2111244.02,5591.56,7.528
Tobacco,2000,Whole Year,Andhra Pradesh,126144.0,463405.0,935.6,12383556.48,32797.44,3.364285714
Urad,2000,Kharif,Andhra Pradesh,99423.0,28296.0,935.6,9760355.91,25849.98,0.1615
Urad,2000,Rabi,Andhra Pradesh,455864.0,362283.0,935.6,44752168.88,118524.64,0.655454545
Wheat,2000,Rabi,Andhra Pradesh,14261.0,8121.0,935.6,1400002.37,3707.86,0.581818182
Arecanut,2000,Whole Year,Karnataka,119093.0,162741.0,1213.3,11691359.81,30964.18,1.2925
Arhar/Tur,2000,Kharif,Karnataka,582763.0,263533.0,1213.3,57209843.71,151518.38,0.492083333
Bajra,2000,Kharif,Karnataka,461048.0,340498.0,1213.3,45261082.16,119872.48,0.662352941
Bajra,2000,Rabi,Karnataka,160.0,129.0,1213.3,15707.2,41.6,0.81
Bajra,2000,Summer,Karnataka,913.0,998.0,1213.3,89629.21,237.38,1.11
Banana,2000,Whole Year,Karnataka,35335.0,649567.0,1213.3,3468836.95,9187.1,18.36037037
Black pepper,2000,Whole Year,Karnataka,7249.0,17586.0,1213.3,711634.33,1884.74,2.263636364
Cardamom,2000,Whole Year,Karnataka,19881.0,1132.0,1213.3,1951717.77,5169.06,0.06
Castor seed,2000,Kharif,Karnataka,30366.0,38871.0,1213.3,2981030.22,7895.16,1.31
Coconut,2000,Whole Year,Karnataka,335996.0,1762403000.0,1213.3,32984727.32,87358.96,4673.661111
Coriander,2000,Whole Year,Karnataka,9829.0,1467.0,1213.3,964912.93,2555.54,0.119047619
Cotton(lint),2000,Kharif,Karnataka,551763.0,855236.0,1213.3,54166573.71,143458.38,1.593333333
Dry chillies,2000,Whole Year,Karnataka,172918.0,151043.0,1213.3,16975360.06,44958.68,1.049259259
Garlic,2000,Whole Year,Karnataka,5949.0,4156.0,1213.3,584013.33,1546.74,1.491333333
Ginger,2000,Kharif,Karnataka,10758.0,141587.0,1213.3,1056112.86,2797.08,12.76823529
Gram,2000,Rabi,Karnataka,369473.0,239431.0,1213.3,36271164.41,96062.98,0.622380952
Groundnut,2000,Kharif,Karnataka,883611.0,881807.0,1213.3,86744091.87,229738.86,0.9464
Groundnut,2000,Rabi,Karnataka,179804.0,199299.0,1213.3,17651358.68,46749.04,1.173846154
Horse-gram,2000,Kharif,Karnataka,161959.0,92938.0,1213.3,15899515.03,42109.34,0.63625
Horse-gram,2000,Rabi,Karnataka,133213.0,63457.0,1213.3,13077520.21,34635.38,0.454583333
Jowar,2000,Kharif,Karnataka,402962.0,589793.0,1213.3,39558779.54,104770.12,1.395238095
Jowar,2000,Rabi,Karnataka,1373422.0,945212.0,1213.3,134828837.7,357089.72,0.674210526
Jowar,2000,Summer,Karnataka,5878.0,11916.0,1213.3,577043.26,1528.28,2.018571429
Linseed,2000,Rabi,Karnataka,17365.0,6404.0,1213.3,1704722.05,4514.9,0.360714286
Maize,2000,Kharif,Karnataka,599893.0,1961879.0,1213.3,58891495.81,155972.18,3.1712
Maize,2000,Rabi,Karnataka,57797.0,142674.0,1213.3,5673931.49,15027.22,2.397368421
Maize,2000,Summer,Karnataka,11165.0,31091.0,1213.3,1096068.05,2902.9,2.774761905
Mesta,2000,Kharif,Karnataka,4288.0,6666.0,1213.3,420952.96,1114.88,1.807142857
Moong(Green Gram),2000,Kharif,Karnataka,435355.0,180709.0,1213.3,42738800.35,113192.3,0.419130435
Moong(Green Gram),2000,Rabi,Karnataka,15474.0,4147.0,1213.3,1519082.58,4023.24,0.26875
Niger seed,2000,Kharif,Karnataka,43842.0,8382.0,1213.3,4303969.14,11398.92,0.213043478
Onion,2000,Whole Year,Karnataka,120358.0,645357.0,1213.3,11815544.86,31293.08,6.0164
Other  Rabi pulses,2000,Rabi,Karnataka,33468.0,3985.0,1213.3,3285553.56,8701.68,0.117407407
Other Kharif pulses,2000,Kharif,Karnataka,169312.0,51172.0,1213.3,16621359.04,44021.12,0.2812
Potato,2000,Whole Year,Karnataka,38298.0,452462.0,1213.3,3759714.66,9957.48,11.70933333
Ragi,2000,Kharif,Karnataka,983456.0,1788947.0,1213.3,96545875.52,255698.56,1.644
Ragi,2000,Rabi,Karnataka,28464.0,25009.0,1213.3,2794310.88,7400.64,1.385384615
Ragi,2000,Summer,Karnataka,10781.0,21376.0,1213.3,1058370.77,2803.06,1.982857143
Rapeseed &Mustard,2000,Rabi,Karnataka,7637.0,2012.0,1213.3,749724.29,1985.62,0.208888889
Rice,2000,Kharif,Karnataka,1120549.0,2792657.0,1213.3,110004295.3,291342.74,2.357407407
Rice,2000,Rabi,Karnataka,52005.0,106335.0,1213.3,5105330.85,13521.3,2.064615385
Rice,2000,Summer,Karnataka,310892.0,947744.0,1213.3,30520267.64,80831.92,2.751304348
Safflower,2000,Rabi,Karnataka,93546.0,72079.0,1213.3,9183410.82,24321.96,0.764
Sannhamp,2000,Whole Year,Karnataka,1424.0,354.0,1213.3,139794.08,370.24,0.285
Sesamum,2000,Kharif,Karnataka,97589.0,40039.0,1213.3,9580312.13,25373.14,0.4372
Small millets,2000,Kharif,Karnataka,71447.0,47452.0,1213.3,7013951.99,18576.22,0.686363636
Soyabean,2000,Kharif,Karnataka,62553.0,65266.0,1213.3,6140828.01,16263.78,1.01
Sugarcane,2000,Whole Year,Karnataka,417141.0,42923496.0,1213.3,40950731.97,108456.66,98.80038462
Sunflower,2000,Kharif,Karnataka,188140.0,100627.0,1213.3,18469703.8,48916.4,0.5375
Sunflower,2000,Rabi,Karnataka,261152.0,110005.0,1213.3,25637291.84,67899.52,0.510434783
Sunflower,2000,Summer,Karnataka,28499.0,20405.0,1213.3,2797746.83,7409.74,0.7235
Sweet potato,2000,Whole Year,Karnataka,3501.0,25771.0,1213.3,343693.17,910.26,6.222142857
Tapioca,2000,Whole Year,Karnataka,1030.0,8018.0,1213.3,101115.1,267.8,9.558571429
Tobacco,2000,Whole Year,Karnataka,70504.0,52131.0,1213.3,6921377.68,18331.04,0.722857143
Turmeric,2000,Whole Year,Karnataka,9251.0,41040.0,1213.3,908170.67,2405.26,4.298095238
